topicId,words
1,management treatment clinical review patient article
2,world flag time nixon olympic athletes
3,pain sleep disorders cancer stress mental
4,race romney massachusetts swift governor weeks
5,oscar awards year won award academy
6,russia russian union soviet putin moscow
7,steel trade industry tariffs thursday world
8,bush president house white democrats administration
9,rubin citigroup treasury policy public weill
10,injury brain tbi traumatic rehabilitation severe
11,skating gold ice figure kwan hughes
12,plan cut part expected months program
13,time man father life friends woman
14,treatment studies trials evidence controlled review
15,review reviews movie daily film thursday
16,outcome injury patients brain severe traumatic
17,upper lower hand limb anesthesia eyelid
18,pitch degrees perfect range temperature notes
19,options olfactory year fariba money good
20,case report patient year presented rare
21,magazine advertising media ads part division
22,information york times news article service
23,film movie films movies series television
24,back don big time play didn
25,music songs album band song country
26,theater broadway show play stage production
27,women men work welfare poor people
28,risk factors study injury analysis results
29,surgery patients surgical complications csf repair
30,therapy infection complications patient infections days
31,art museum history artists culture time
32,saudi arabia year washington sunday week
33,motor task subjects training control recovery
34,water heat taste large small place
35,radio station experience online channel high
36,film war review minutes peter language
37,cells disease cell human blood diseases
38,model impact analysis data study models
39,car front power drive rear engine
40,company companies business market industry customers
41,injuries injury trauma cases common related
42,music artists record industry recording label
43,concussion athletes sports players impact sport
44,death cases died deaths forensic body
45,food minutes add cooking cook eat
46,participants rehabilitation measures study results scale
47,implant dental plate implants months fixation
48,people don good work things time
49,officials afghanistan qaida war laden taliban
50,free canada stories pitch site perfect
51,move scheduled stories undated file receive
52,european europe germany british french britain
53,problem problems single standard history interest
54,school university students schools year college
55,undated travel words photo york feb
56,black white people brown african optional
57,subdural hematoma intracranial hemorrhage acute chronic
58,son years family day life time
59,palestinian israeli israel arafat peace palestinians
60,room house red home club small
61,life social quality emotional relationship person
62,argentina government bank country banks dollar
63,san francisco valley business area wal
64,distance miller bed days time part
65,white blacks black african racial america
66,face skin burns tissue burn wound
67,andersen documents firm wednesday investigation investigators
68,beach post palm book photos moved
69,bankruptcy bill twain burns credit bankruptcies
70,infants development weeks birth hewlett cases
71,years organ heart year twin week
72,york undated news service nyt column
73,space design found light science sun
74,atlanta book journal constitution review books
75,case court trial charges death prison
76,una como tiene fue ser informacion
77,lee jones tyson boxing years fight
78,atlanta journal constitution moved news cox
79,head injury trauma injuries neck helmet
80,www island day ship miles trip
81,artery cerebral stroke carotid traumatic middle
82,show network television nbc disney abc
83,afghanistan afghan taliban government kabul karzai
84,texas star telegram worth fort austin
85,pituitary dysfunction growth hormone normal function
86,nytimes news page times stories mail
87,imaging mri magnetic resonance brain matter
88,optional trim end begin director university
89,year service mexico immigration mexican government
90,internet web digital music online site
91,phillips year galliano line site miss
92,million state money project year officials
93,long term short early late exercise
94,family home people day job work
95,central damage system nervous injury cns
96,police pearl people officers man street
97,accounting financial companies investors stock corporate
98,symptoms post mild depression disorder reported
99,wine wines cult years california found
100,news service moving editor coxnews cox
101,farmers farm corn rice world food
102,fuel cars vehicles vehicle ford car
103,arizona phoenix time high republic international
104,law court federal government legal case
105,fractures orbital fracture reduction facial treatment
106,year high power early deal electric
107,series car racing time year drivers
108,air apoe disease risk alzheimer dementia
109,words undated photo clients stories moved
110,speech people state ways part events
111,cognitive memory test performance neuropsychological tests
112,words jan york undated nyt students
113,africa south zimbabwe african region people
114,bush china north korea chinese south
115,fashion dress wear black year white
116,lead paint public companies williams based
117,strauss levine central news songs agency
